Localidade,IBGE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Granjeiro,2304806,6452,6883,7615,9065,9702,10967,12284,13885,18513,19946,19353,21581,22676
São Francisco do Oeste,2411908,5257,6313,7825,7700,9200,11050,13063,15169,17720,19236,20135,21618,22682
Barcelona,2401503,6397,7074,8569,9179,9995,11170,13542,14760,16915,17409,18923,21161,22691
Abreulândia,1700251,5484,8128,7336,8767,9345,10672,12214,14225,15975,17492,19130,20649,22770
Marmelópolis,3140407,9001,8884,9642,10358,11816,13643,13538,14486,17390,19431,20940,20290,22778
Damianópolis,5206701,5170,5609,7448,8347,10138,10462,12906,14805,16431,17044,18882,20323,22798
Landri Sales,2205607,6886,7899,8371,10375,11844,12726,13127,15252,30421,27491,28616,28724,22802
Matinhas,2509339,6853,10404,9675,13461,13127,14671,17220,14765,23812,22686,23252,23314,22813
Dom Macedo Costa,2910206,4937,5679,7601,10139,10537,10517,12427,16669,16544,16796,18657,19716,22829
Presidente Castello Branco,4213906,15421,16608,18889,19520,15438,16267,15288,19227,25249,22998,22202,29227,22899
Francinópolis,2204006,5365,6190,6994,8415,9310,9608,11052,12718,15378,17243,19182,25072,22909
Luciára,5105309,6836,8013,8949,10373,10730,12943,13194,14067,17111,19381,21560,22301,22912
São José do Sabugi,2514701,5332,6336,7975,8164,8866,10026,11716,13143,16148,18302,20540,22105,23067
Lucrécia,2406908,4777,5571,7366,7599,8340,10039,11709,13600,15242,17115,18140,20490,23079
Lizarda,1712405,5052,6924,6866,8617,9062,10001,11543,12974,15257,17417,20409,21125,23080
Estrela Dalva,3124609,8805,9561,10170,11777,12482,13439,14370,15820,18457,19667,21185,21530,23085
Boa Hora,2201770,5061,6386,6900,8818,10113,10655,11988,14660,15209,19075,22085,24075,23096
Morro Agudo de Goiás,5213855,5763,6811,8879,10454,10937,11383,12337,13611,16295,16701,20462,21136,23097
Gavião,2911253,6217,5992,6768,7842,8332,9628,11051,12466,14238,15721,19866,20701,23164
Santa Luz,2209302,5047,5521,6120,8565,8678,9990,9513,11953,14223,17753,19991,24168,23202
Lamim,3137908,5955,6144,7390,8791,9231,11150,12090,13683,15864,16851,19700,21514,23220
Monte Horebe,2509602,5802,5810,8112,8595,9102,9812,12308,13657,16469,17329,19766,22159,23251
Vieirópolis,2517209,6611,5835,7110,8009,7917,9268,11271,12723,15118,16770,19733,22019,23280
Nova Aurora,5214804,6523,6671,8130,10087,10762,12122,12990,14950,18813,20485,23117,27338,23296
São José do Mantimento,3163607,4950,5253,6634,7567,8190,9209,9931,11742,14152,16681,19167,23872,23325
Santana dos Montes,3159100,7030,7726,8924,10627,10638,11811,13277,16474,18420,19372,21856,23891,23356
Córrego Novo,3120003,5997,7647,8479,10674,11324,12436,13638,18149,24081,25388,26448,22968,23367
Barra Bonita,4202099,9243,10029,10872,16082,17341,16234,16111,19200,25515,25590,27271,25327,23416
Belém,2700805,8715,9091,9449,11011,12347,13473,14993,15513,17713,19574,21031,20814,23433
Pedra Dourada,3149002,5541,5514,5743,7372,8834,10054,11877,10965,14063,15090,16685,23480,23513
Jatobá do Piauí,2205276,4772,6380,8148,13763,9396,11732,14060,14989,17185,23279,23580,24290,23529
Damião,2505352,5609,5708,6125,8420,9717,11708,13336,15049,18488,18216,19972,22313,23538
Riachão do Bacamarte,2512754,6652,7609,8001,11420,10469,11126,12856,13772,15648,17882,20673,22179,23568
São Francisco,2806909,4855,5739,6807,8175,8851,9831,11551,12348,14204,16149,17884,23448,23586
Jerumenha,2205300,6456,7184,7923,8580,11234,10304,11651,14266,21245,17201,22578,21264,23617
Contendas do Sincorá,2908804,5894,7076,7859,9449,9522,12001,13273,14577,15399,18848,22667,23330,23624
Ibiquera,2912608,6735,8399,8663,11853,9087,9670,10864,13841,15610,17892,19263,20745,23683
Campinas do Piauí,2202109,7241,8310,8217,10283,11073,11750,14035,15675,18006,22176,22307,26194,23695
Serra Azul de Minas,3166501,5737,6636,7848,9240,9804,11128,12500,13867,16639,17363,19429,21480,23705
Umburatiba,3170305,6781,7510,9689,10527,10807,12457,13479,14481,17394,18587,20365,21718,23779
Boqueirão do Piauí,2201945,4674,5594,6124,7253,7899,8535,9594,12349,16256,17955,20605,22526,23788
Serranópolis de Minas,3166956,5757,6132,7445,7797,8776,10684,11707,14471,17827,19027,21161,23009,23793
Sampaio,1718808,3707,4831,6273,9543,10455,11049,10305,16499,22879,26088,25462,22079,23872
Monte Santo do Tocantins,1713700,5971,7145,7537,9723,10403,10968,11831,12770,16323,17893,20318,21954,23891
Itati,4310652,0,6346,7577,9187,12444,13637,17097,16282,17252,16945,20905,21923,23902
São Salvador do Tocantins,1720259,4858,5890,7710,11344,17701,22275,49399,89296,101533,88430,41588,24225,23904
Novo Santo Antônio,5106315,0,2564,4676,6835,6382,8249,9149,11599,15123,18349,22935,23061,23961
Catingueira,2504207,6476,7040,9145,9967,11306,12803,15809,16844,19735,21909,21587,23029,23978
Senador José Bento,3165800,7740,9792,10997,12710,16570,17367,15938,17018,23949,25592,21632,25079,23978
Nova Palmeira,2510303,5231,7219,7668,8075,8986,10301,12130,13149,16205,18447,21072,22578,24079
Serrinha dos Pintos,2413557,6428,7303,9236,8899,10060,11416,13106,15447,17115,19168,20469,22522,24112
Betânia do Piauí,2201739,7694,8899,9286,11813,13638,14846,15881,18148,18484,20673,21959,25616,24135
Carrasco Bonito,1703891,4847,6051,6758,9060,10229,11642,11926,12996,14606,17383,21086,21955,24150
Rodolfo Fernandes,2411007,7183,8271,10439,10381,10442,12395,14664,17132,18787,19246,20750,22929,24166
Campo Azul,3111150,5865,6583,7965,9014,9641,11815,13455,15056,19722,20417,22152,23810,24293
Jundiá,2703908,11913,11169,10815,11733,11196,13321,16475,17285,19380,21859,25450,27270,24307
Bugre,3109253,6769,6566,7445,8627,9171,11039,12029,14594,20655,22067,21185,22347,24413
São João da Fronteira,2209872,6585,7774,8185,10005,10424,10109,11798,15122,21500,16770,21718,23983,24427
Campo Grande do Piauí,2202133,6603,7209,8572,9659,10075,11704,13379,15912,19417,20197,21851,26353,24472
Riachão do Poço,2512762,7167,8713,9179,11394,12282,13067,15821,15958,19372,20768,20839,23003,24484
Lagoa do Tocantins,1711951,4559,4424,5587,6847,7901,8617,10418,12514,15745,17744,20432,22510,24507
Angico,1701051,4462,5805,6561,9359,10504,11384,13264,14951,16465,19856,23883,24346,24542
Frutuoso Gomes,2404002,7421,8237,9767,10063,10765,12818,14618,16533,19049,20266,21560,23445,24601
Lagoa,2508109,6413,6833,7693,8018,9056,10234,11784,14711,16950,19171,22635,23352,24605
São Raimundo do Doca Bezerra,2111631,8243,9091,10389,10822,11552,13054,13904,16604,18209,19811,28113,33956,24672
Buriti de Goiás,5203939,7019,7333,9716,10533,11407,12356,13480,14688,17119,19404,25544,23241,24728
Patos do Piauí,2207777,5952,6852,7884,9224,12190,12430,16965,17819,23325,23178,23403,25096,24738
Milton Brandão,2206357,6401,7728,8260,10080,10712,11631,13297,14930,16672,18871,20839,24278,24763
Adelândia,5200159,6279,7100,8734,9601,10287,11477,12730,14106,17438,20980,23673,24886,24764
Dirceu Arcoverde,2203354,6684,7055,7124,8617,11048,11616,13109,14703,18863,19991,22256,24376,24839
Macieira,4210050,7418,7503,7848,11550,12432,14023,16560,18977,22920,27097,30291,26525,24848
Tanque d'Arca,2709004,8286,9035,9200,10261,11773,12891,14254,15030,17355,18510,22895,24875,25003
Caiçara do Rio do Vento,2401909,5077,5596,6896,6952,7832,8602,10911,12455,14090,16825,19701,20219,25005
Campo Largo do Piauí,2202174,5301,6652,7156,8866,9597,9892,11135,14532,16940,18735,22137,24205,25044
Morro do Chapéu do Piauí,2206670,6598,7685,8311,10178,11397,11656,11112,15043,17357,20028,21769,25184,25058
São João do Cariri,2514008,8214,10893,11016,12375,13063,14185,16320,17052,20466,21755,22844,25372,25101
Senhora do Porto,3166105,6121,6707,7703,8922,9532,11025,12107,14081,16679,17495,20293,21923,25122
Lagoa de São Francisco,2205573,4913,6165,6487,8208,8651,10487,10417,13790,15008,17819,20549,23328,25125
Jacobina do Piauí,2205151,7404,8473,8749,10042,10787,11701,13383,14887,18182,21988,24555,25968,25146
Aroazes,2200905,7434,8073,8656,10783,13416,13716,16417,17899,21154,24426,24503,27137,25248
Duas Estradas,2505808,6531,7638,8833,10306,10888,11639,13074,14931,18634,19921,21392,22758,25291
Sem-Peixe,3165560,6323,6245,7250,8509,9038,10027,10353,12294,15021,16107,18335,20309,25307
Ibiam,4206751,8280,9198,9776,13713,15304,17289,15587,20845,29279,24629,24191,29713,25374
Alagoa,3101300,8009,8612,10215,11774,12258,15697,15526,18413,22862,23240,25453,24024,25401
Caxingó,2202653,5270,6157,6919,9080,10292,10991,11835,14760,18000,19447,22707,25400,25466
Senador Georgino Avelino,2413201,5682,6594,10282,9663,10781,16062,14992,18430,18711,20919,21612,23978,25510
São Julião,2210300,7017,7459,7867,9548,10859,12357,14376,16334,22496,20753,23352,25711,25569
Jaramataia,2703700,12701,15570,15690,14916,16616,17995,18234,20059,23866,23573,24986,25254,25595
Manoel Emídio,2205904,6008,8263,7405,11838,11884,16144,17760,14981,21414,28097,24338,32155,25625
Irati,4207858,10009,10537,12797,16338,15635,16249,16372,22335,26931,27000,27114,30211,25644
Novo Xingu,4313466,0,8887,9392,14437,11774,11127,15473,20836,22828,21490,24546,28005,25666
Carmolândia,1703883,6266,8662,8154,10099,11770,12584,14917,18978,22612,24343,26237,25734,25666
Olho-d'Água do Borges,2408409,6762,7473,8952,9615,10164,12237,14016,15764,17392,19432,21563,24439,25682
Miravânia,3142254,4824,5513,6845,8060,9686,12437,13192,15493,18283,19486,31098,25931,25698
Montadas,2509503,8651,7093,9248,10486,11934,12667,14819,15511,19689,19908,21951,25593,25740
Chiador,3116209,7069,8035,8727,10096,10569,11729,12453,15541,20872,22984,27857,25443,25754
Chácara,3115904,8300,8278,7771,9271,9545,10209,11529,13425,19400,19461,22766,23644,25785
Serra de São Bento,2413300,7609,8533,9697,9856,11415,12436,14165,16602,17792,19824,22171,24089,25801
Ipueiras,1709807,3026,6021,4776,5928,6220,7888,9837,10740,19230,19677,18772,24072,25899
Rio Grande do Piauí,2209005,6361,7448,8766,11709,11694,13605,13406,17594,18586,21425,24937,25134,25905
Novo Oriente do Piauí,2206902,6914,7654,8921,11017,12121,12890,13464,15387,18067,20730,23491,27566,25949
Lajes Pintadas,2406809,7191,7873,9319,10129,12174,12487,14057,16106,17494,19100,22207,24356,25963
Pedra do Anta,3148806,8112,8065,8886,10090,10465,12092,13549,15179,17164,17907,18374,21408,25976
Ewbank da Câmara,3125002,8258,8376,9637,10601,11359,13273,14916,15374,17979,18641,21216,23358,26019
Guarani d'Oeste,3518008,8178,8885,10135,11819,11203,11982,12593,13766,16583,19316,20220,22396,26020
Desterro do Melo,3121506,6881,8080,9721,10256,11496,12958,14163,15839,19926,20404,23691,25186,26072
Carlos Gomes,4304853,7066,7944,9139,11463,10593,9193,11951,16581,19084,20208,22630,24481,26124
Benedito Leite,2101806,7200,7947,8710,10339,11393,11425,12703,13276,16971,18248,20593,33900,26141
Santa Rosa de Lima,2806503,6955,7542,9107,11678,12680,13429,15547,17895,20952,22393,23626,27721,26202
José Gonçalves de Minas,3136520,7679,8914,8768,10602,10619,12645,12068,13956,18489,19694,22103,24104,26207
Jardim Olinda,4112603,6669,7327,8488,11287,11524,10299,8993,11015,14429,21151,22183,23983,26236
Crixás do Tocantins,1706258,4924,7222,9317,15776,12561,13879,13914,15317,17043,20376,23659,23054,26365
Maripá de Minas,3140209,7940,8128,9670,10955,11297,13079,14089,16491,18940,19880,20799,24988,26384
Pilõezinhos,2511707,8150,9659,10331,11781,12507,14227,15565,17114,19237,21442,24217,24385,26392
Santana de Mangueira,2513505,7554,8377,9587,11637,10980,12310,15837,16053,21834,22420,23216,27052,26398
Mathias Lobato,3171501,6820,7408,8945,9843,12497,14081,15175,16122,17268,19754,20906,23384,26405
Glaucilândia,3127354,5445,5674,6681,8115,8270,10378,10926,12812,13970,17463,17973,19665,26427
Coqueiro Seco,2702207,7644,8665,8964,9798,11215,12600,14432,15942,17917,19780,22406,24883,26427
Berizal,3106655,5582,6372,7227,8713,8848,10258,12085,14803,17741,18054,21315,24317,26447
Vitória Brasil,3556958,6704,10132,10997,11287,12262,13616,16606,17222,18639,17446,23315,24890,26529
Santa Cruz do Piauí,2209104,7552,8399,8223,9729,11157,12101,13082,14649,16640,19394,22121,26198,26539
Tufilândia,2112274,5742,7037,8109,10566,12289,14195,18029,18637,21833,28771,25739,28498,26544
Santa Maria do Tocantins,1718881,3938,5368,6142,9696,12979,16418,16402,20019,26611,20172,23049,23618,26548
Sete de Setembro,4320578,9552,11732,11225,17463,14058,14068,18993,28227,24364,23798,30138,34245,26577
Alto Bela Vista,4200754,12123,13782,15259,20793,18976,22808,20204,25196,29362,29656,32939,36679,26580
São José da Safira,3163003,6239,6988,8764,9210,9916,11078,12023,13951,16682,18726,21399,23698,26595
Riacho de Santana,2410801,6590,7512,9602,9620,10936,11927,14222,16643,18552,20323,22597,24788,26616
Santana de Cataguases,3158409,8181,8941,9837,11481,12508,13721,14371,16204,19123,19814,22126,23866,26634
Caraúbas do Piauí,2202539,5871,6880,7692,9518,10439,11363,12022,14944,18726,20696,24362,26699,26678
Acauã,2200053,5548,6150,6598,8280,10061,10130,12727,15117,17859,22335,24420,26884,26680
Governador Luiz Rocha,2104628,6265,7597,9055,10424,13319,13403,15106,16599,20108,23480,25048,28031,26689
Madeiro,2205854,5505,6769,8099,10819,11901,12446,14334,17839,20503,23068,25845,27320,26710
Taparuba,3168051,6778,7662,8507,10201,10906,12647,13204,15055,17126,18892,21774,23204,26713
Coronel Martins,4204459,9947,10727,12321,18842,18995,18711,17450,24285,32412,32833,32877,36255,26715
Minador do Negrão,2705309,10034,11061,10761,11922,13141,14360,15886,18393,21486,22707,24365,25137,26723
Bom Princípio do Piauí,2201919,12111,14267,8650,12923,12391,13529,15197,20783,22616,20767,23235,32076,26742
Damolândia,5206800,7607,7832,11206,12660,13969,14044,15935,16561,19499,23955,24584,25820,26781
São Félix de Minas,3161056,6932,6524,7718,8886,8846,10941,12435,14651,17370,19479,23833,25424,26809
São Bentinho,2513927,5496,5722,8183,11416,9072,10914,13467,14761,16912,19087,20554,24208,26821
Porto Vera Cruz,4315073,9671,11274,12780,16565,16074,14116,17067,19596,21803,22075,30119,25847,26875
Goiabeira,3127370,6932,7163,8121,10010,11213,12915,13354,16381,18239,18768,20375,23668,26896
Santa Teresinha,2513802,7696,8283,9346,11025,12274,13241,16055,17030,19517,21492,23834,25898,26939
Japi,2405405,8533,10039,11324,11115,12477,13422,15042,17447,20907,21860,24095,26397,26947
São Miguel do Aleixo,2807006,6247,7408,8544,10199,11258,12706,14179,15929,22038,23819,26541,24529,27031
Fernandes Tourinho,3125804,6425,6626,7959,9266,9635,11582,13321,14653,17375,18490,21948,23389,27071
Ingazeira,2607109,8760,8101,10895,12202,12255,14793,17205,17417,18938,21618,21814,25394,27090
São José do Divino,2210052,6616,7451,8402,11379,12628,13592,14497,16897,18760,20676,23514,27469,27107
Santarém Novo,1506906,5992,7293,9753,10919,12718,13077,13639,15375,17205,21171,23607,24928,27111
São João da Paraúna,5220058,8681,10924,12070,15521,17064,15737,15157,16398,19955,22434,24770,21866,27119
Rio dos Bois,1718709,6434,8363,7576,10128,11476,15821,13414,14701,28733,29639,32964,27195,27127
São João do Arraial,2209971,4918,5722,6338,7961,8912,9855,11319,14010,15853,19993,22839,25947,27143
Brasilândia do Tocantins,1703602,5057,6551,7748,10684,16733,21411,19099,23121,23136,26686,23627,25130,27185
Santa Efigênia de Minas,3157500,7185,7908,9547,11430,12049,13948,15395,15570,18550,19413,22573,25255,27186
Divinésia,3121902,6453,6899,7873,9447,11601,13428,14931,16481,19431,19765,21274,24786,27205
São João da Serra,2209906,7927,8669,9509,11411,11629,13574,15538,18484,21188,22342,25691,27418,27233
Ichu,2913309,7468,9000,10229,11630,11081,11871,13696,15448,17330,19640,22773,23715,27246
Arvoredo,4201653,8946,12365,11037,17393,19454,20812,17985,22459,32520,32448,25319,35066,27253
Ribeira,3542800,7668,8701,9982,10823,10887,12253,13476,15777,19795,22336,23839,25123,27257
Davinópolis,5206909,6545,7038,8968,11192,12663,14589,14937,18184,22106,22494,27815,27584,27279
Santa Cruz de Salinas,3157377,6312,7165,8581,10737,11721,11790,14801,16489,20747,22930,23601,24686,27285
São José dos Ramos,2514453,6880,9355,9391,11354,12350,12672,15843,17367,21242,23598,23931,25906,27315
Bom Jesus do Oeste,4202578,9285,9877,12888,16846,18583,16045,15183,19597,27255,27878,28422,31839,27315
Boa Ventura,2502102,8639,8979,10764,11988,12841,14434,18419,17063,20913,21986,24197,26263,27341
Arapeí,3503158,7629,10182,9288,11379,11654,13807,15513,16400,18717,26326,29756,27751,27375
Sítio Novo,2413706,6788,7874,9842,9958,11019,12441,14838,18097,19861,22325,23674,25147,27416
Coronel João Pessoa,2402907,7070,8031,9726,9517,10441,12117,14122,16498,18601,21565,23018,25522,27440
Novo Jardim,1715259,6076,14877,6543,8605,13052,11326,11368,13480,17329,21148,26018,25794,27444
Baixio,2301802,8386,8037,9598,11947,12992,14313,16324,16415,21216,22148,24698,28424,27448
Alcantil,2500536,7698,9472,9959,12528,13280,15347,16935,17750,20399,22438,25173,26492,27450
Nova Iguaçu de Goiás,5214879,6388,7423,9692,11553,12308,13290,14114,16119,19851,20000,23907,25000,27507
Assunção do Piauí,2201051,7099,7209,7486,8135,9857,14255,19526,17254,22859,23003,23949,27551,27509
São José do Piauí,2210201,7571,8480,8870,11506,12268,14375,18578,18729,23555,26353,27191,30868,27515
Pugmil,1718451,7985,11237,10721,14053,15358,16388,18029,19373,22580,32404,37022,28565,27571
Santa Bárbara do Monte Verde,3157278,7406,7873,9457,11681,11265,12945,14279,17433,21691,22812,24340,25709,27600
Acaiaca,3100401,7448,8267,9913,12104,12906,13754,15198,16332,20013,21485,23738,26039,27639
Coronel Pacheco,3119609,8294,8594,10238,12247,13751,15935,16316,17551,20600,21531,24311,25066,27652
São Francisco do Piauí,2209708,7042,7678,8460,9645,10897,11118,11727,12784,15927,20113,24678,28924,27667
Firmino Alves,2910909,9554,10737,8970,10482,12815,15194,16074,15803,19046,20900,23938,25199,27694
Itaóca,3522158,9096,9761,9772,10055,10985,12550,13699,16112,18351,21154,23434,25093,27759
Almino Afonso,2400604,7412,8425,11387,11230,11741,13535,16064,18480,20720,20389,21467,26577,27799
Ponte Branca,5106703,6619,6860,8740,11033,14213,18780,16472,19323,21533,22615,22743,25799,27809
Bom Sucesso,2502300,7169,7374,8829,10129,11194,12005,14233,16759,20333,21956,23163,24852,27810
São Valério do Sul,4319737,10027,11391,11870,19775,14588,11381,14156,23990,24845,25602,27819,33064,27820
Córrego do Bom Jesus,3119906,8419,9200,10563,12278,13454,14935,16368,17366,19651,21051,22644,24457,27825
São José de Espinharas,2514404,7885,9245,10893,12157,12855,13874,16820,19033,22428,24647,26110,29020,27828
São Sebastião do Tocantins,1720309,4634,6421,7794,9204,10084,11990,13520,15650,17484,19938,24087,25546,27866
Pingo-d'Água,3150539,6217,7109,8012,9567,10529,12133,13631,15128,20446,20178,27295,26624,27894
Sul Brasil,4217758,11215,12731,14208,19650,18788,18360,18719,21995,28677,33507,31742,34863,27913
São José de Caiana,2514305,6834,7370,9480,11448,11365,12642,16819,17151,20650,22413,23960,26853,27929
São José da Vitória,2929354,7358,7907,10249,11404,10524,11108,13568,15480,18150,20207,23513,25751,27980
Fronteira dos Vales,3127057,7046,7618,10004,10509,11245,12963,14792,16190,19440,21264,24123,26332,28060
Santa Clara d'Oeste,3546108,9968,11138,11581,13683,13322,13213,13788,15722,20459,21995,24085,25626,28122
São Pedro das Missões,4319364,0,7249,7561,12398,13243,9436,15341,20497,24402,21083,26025,29864,28142
Argirita,3104403,9078,9954,11243,13042,13941,15585,16623,19064,22849,23980,25506,26757,28165
Recursolândia,1718501,4630,6371,7605,10359,10144,11954,13900,16279,19918,22428,24685,25615,28251
Monteirópolis,2705408,8436,10057,11691,11287,12509,15417,17432,19294,22495,23013,25593,28565,28313
Entre Rios,4205175,7013,8152,8913,11710,13333,16476,16023,19025,23352,23737,24727,30063,28343
Trabiju,3554755,8461,10363,9939,13494,16267,17624,20514,20510,19449,18223,24949,34425,28350
Aguiar,2500205,8087,8915,10102,11613,11588,12757,15167,17076,19754,22119,24505,27121,28374
Esperança Nova,4107520,6363,6899,8564,11963,13133,12189,12988,13908,15793,16579,21439,22343,28377
Caldeirão Grande do Piauí,2202091,7065,7590,7836,11926,14346,11239,17852,19674,22101,31793,29026,27252,28391
Alagoinha do Piauí,2200251,8187,8815,8575,10420,12466,13164,16470,19163,23271,27280,26446,35946,28394
Ibiara,2506608,8780,9853,11282,13124,13415,14216,18525,18150,22902,23553,25469,27193,28452
